"Estado","year","gdp","gdp_mp","gdp_smp","gov","deflator","pop","gov_real","govpc","gdppc","gdppc_smp","gdppc_mp"
"Puebla",2008,674193.135,3057.003,671136.132,17183.842,61.730595788401,5666092,27836.8316076236,4912.88027226237,118987.325832337,118447.800000424,539.525831913778
"Puebla",2009,624404.773,4013.722,620391.051,14816.426,67.452756322861,5737635,21965.6346274147,3828.34297187163,108826.157990182,108126.615060038,699.542930144563
"Puebla",2010,671261.179,4615.606,666645.573,18241.535817,68.444598372938,5814381,26651.5345997157,4583.72690054465,115448.433633778,114654.607773381,793.825860396833
"Puebla",2011,707410.028,7225.47,700184.558,19498.508554,72.006533670456,5898219,27078.8046029775,4591.01376245567,119936.20921841,118711.183494543,1225.02572386681
"Puebla",2012,747711.785,9585.026,738126.759,20862.752758,75.256035318475,5983212,27722.3649501481,4633.35829486706,124968.29211467,123366.305422572,1601.98669209782
"Puebla",2013,735647.501,10582.785,725064.716,23135.971926,77.929722757259,6069460,29688.2512954211,4891.41559470218,121204.769617066,119461.157335249,1743.61228181749
"Puebla",2014,747336.718,7130.415,740206.303,25466.965154,80.752975394419,6155379,31536.8753034951,5123.46604546935,121411.974469809,120253.570576239,1158.40389357016
"Puebla",2015,765649.97,6424.559,759225.411,27024.851275,84.79320413217,6242104,31871.482569376,5105.88778549285,122658.9576207,121629.727893031,1029.22972766875
"Puebla",2016,781511.065,6074.809,775436.256,29473.575713,90.260409172838,6330041,32653.9354109969,5158.56617848081,123460.663998859,122500.984748756,959.679250102803
"Puebla",2017,835368.657,5075.588,830293.069,33576.943349,95.11219188584,6419193,35302.4598458432,5499.51681556283,130136.086732398,129345.397310846,790.689421551899
"Puebla",2018,849556.003,3750.537,845805.466,36004.270809,100,6480469,36004.270809,5555.81252051356,131094.833259753,130516.088573219,578.744686534262
"Puebla",2019,856910.727,3184.886,853725.841,38198.575351,104.288301201299,6552532,36627.8622923088,5589.87919361688,130775.511970029,130289.457724129,486.054245900669
"Puebla",2020,767210.116,2494.922,764715.194,35558.372611,111.00555001024,6629694,32032.9682684513,4831.74159598486,115723.307289899,115346.981927069,376.325362829717
"Puebla",2021,794876.174,2169.201,792706.973,39138.4256,115.906706747006,6672736,33767.1793966409,5060.46985773765,119122.976542156,118797.892348806,325.084193350374
"Puebla",2022,825850.47,1984.329,823866.141,46082.621181,123.887121115279,6668557,37197.2653542569,5578.00815892508,123842.454971893,123544.889996442,297.564975451211
"Puebla",2023,852625.249,1770.293,850854.956,52334.580032,128.912374022365,6565074,40597.018268332,6183.78684967329,129872.907601651,129603.254433994,269.653167656602
"Querétaro",2005,403091.741,0,403091.741,4887.434,47.196605548909,1701300,10355.4777788738,6086.80290299995,236931.605830835,236931.605830835,0
